a0,a1,a2
12500,98,1
3250,28,1
4000,35,1
5000,45,1
6000,77,0
1000,4,0
1750,14,1
3000,35,0
2250,22,1
11500,98,1
5750,58,0
750,4,0
2500,28,1
3250,47,0
1500,15,1
1250,11,1
3500,48,1
3750,49,1
1500,15,1
750,4,1
750,4,1
2750,28,0
1500,16,1
1500,16,1
2250,16,0
3500,40,0
1500,14,0
3000,34,1
1250,11,1
2000,21,0
3500,58,0
2500,28,1
2500,28,1
2250,26,1
4000,64,0
2000,28,1
3000,47,1
1500,16,1
3500,57,1
1750,22,1
3250,53,1
1250,16,0
1250,16,1
1250,16,0
5000,69,1
2250,28,1
2250,36,0
500,2,0
500,2,0
500,2,0
2750,46,0
2750,46,1
1500,22,0
3000,52,0
1250,14,1
4750,69,1
2000,26,1
1750,28,1
4000,81,0
1500,21,0
1750,29,0
2000,35,1
2500,49,0
1250,16,1
750,9,1
4000,74,0
1000,14,1
500,4,0
1750,25,0
2250,51,0
1000,16,0
1000,16,0
4250,71,1
500,4,0
500,4,1
500,4,1
1000,16,1
500,4,0
500,4,0
500,4,0
1500,23,1
1000,16,0
1000,16,0
1000,16,0
1500,28,1
1500,28,0
500,4,0
500,4,0
500,4,0
1750,35,1
500,4,1
500,4,0
500,4,0
500,4,0
2750,23,0
1750,28,0
4250,86,0
2250,38,1
1000,14,1
1750,26,1
2000,34,1
3250,76,1
2250,40,0
1250,26,0
1250,26,0
4250,70,0
2000,59,0
1250,26,0
750,14,0
2500,64,0
1250,23,1
2250,46,0
1250,23,0
2000,40,1
3000,82,0
6000,64,0
1750,46,1
2750,61,0
1750,57,0
2750,79,1
750,16,1
1250,26,1
1500,41,1
1250,33,1
1000,26,0
1250,34,0
2000,46,1
1000,26,0
2000,48,1
500,10,1
1250,28,0
3000,95,0
500,10,0
1500,35,0
2750,88,0
750,19,0
1250,37,0
3000,98,0
1250,19,0
500,11,0
2250,74,0
3500,86,0
750,16,0
750,16,0
500,9,1
750,16,1
750,14,0
500,11,0
500,11,1
500,11,0
1750,58,1
1500,39,0
2750,78,0
250,2,1
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,1
250,2,1
250,2,1
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
250,2,0
2500,35,0
1000,16,1
1250,33,1
1500,41,1
750,22,0
1000,26,1
1000,16,0
1000,35,0
3000,88,0
2000,26,0
2250,33,0
1250,34,0
1000,26,0
3750,77,0
1250,35,1
1750,52,0
1750,52,0
1000,35,0
2750,42,0
500,14,0
1250,47,1
2000,38,1
1500,47,0
1750,29,0
2250,45,0
1500,52,0
1750,58,0
500,11,1
1750,58,0
2250,38,0
1500,26,0
500,16,0
1750,76,0
1500,27,0
750,14,0
250,4,0
250,4,0
250,4,0
250,4,0
250,4,0
250,4,1
250,4,0
250,4,0
250,4,0
250,4,0
250,4,0
250,4,1
250,4,1
250,4,0
250,4,1
250,4,1
250,4,0
750,24,0
250,4,0
250,4,0
250,4,0
250,4,1
250,4,0
2000,39,0
1750,26,0
2500,63,0
750,15,0
500,14,0
1000,43,0
2250,58,0
2000,52,1
5500,98,0
750,25,1
4250,79,1
500,11,0
1250,46,0
3000,58,0
3000,86,0
500,11,0
500,11,0
500,11,0
1500,75,0
2000,41,1
750,16,1
3250,59,0
750,35,0
2000,28,0
1750,37,0
750,28,0
3000,58,0
1000,41,0
3500,73,1
500,23,0
750,38,1
1250,58,0
1000,43,1
500,23,0
2000,46,0
1750,82,0
1000,21,0
2750,40,0
1750,28,0
500,16,0
1250,58,0
1250,58,0
1000,46,0
3250,57,0
750,34,0
4500,78,0
2000,48,0
4000,70,0
1000,22,1
1250,26,0
500,16,0
1250,33,0
500,14,0
500,23,0
500,16,1
1250,28,1
750,19,1
1000,23,1
3000,50,0
1000,28,0
1250,35,0
1250,35,0
1000,70,0
1250,28,0
500,14,0
500,14,0
500,14,0
500,14,0
500,14,0
500,14,0
750,52,0
1500,34,0
1250,37,1
1250,74,0
750,23,0
1000,23,0
750,19,0
1250,38,0
500,16,0
2250,60,0
250,9,0
250,9,0
500,29,0
500,17,0
1000,26,0
2250,72,1
1250,41,0
4000,82,0
1250,51,1
1000,34,0
2000,50,1
1750,38,0
500,16,0
500,41,0
4000,98,0
1000,28,1
1750,39,0
1750,47,0
1500,35,0
1500,35,1
1750,62,1
500,16,0
750,21,1
750,28,0
1750,64,0
250,11,1
750,34,0
1000,30,0
9500,98,0
1500,58,0
250,11,0
250,11,0
250,11,0
250,11,0
250,11,0
250,11,0
250,11,0
250,11,0
500,21,0
1250,50,0
500,21,0
1000,28,0
500,41,0
1500,40,0
750,26,0
500,26,0
4000,64,0
1500,51,0
500,24,0
750,71,0
3250,57,0
1500,71,0
500,21,1
3750,57,0
1000,38,0
500,26,0
1250,40,1
500,51,1
750,31,0
500,52,0
1000,65,0
1000,40,0
750,40,1
1250,50,0
250,14,0
250,14,0
250,14,0
250,14,0
250,14,0
250,14,0
250,14,0
250,14,0
1750,72,0
250,14,0
250,14,0
750,52,0
1750,73,0
1000,58,0
1000,59,0
500,59,0
1000,61,0
1000,40,0
2500,89,0
500,21,1
750,26,0
2000,76,0
750,26,1
500,23,0
1250,33,0
2000,46,0
750,34,0
