,Continous Feature 1,Continous Feature 2,Categorical Feature
5 percent Eucledian 1NN,13.79310345,6.896551724,51.72413793
5 percent Mahattan 1NN,13.79310345,6.896551724,NA
5 percent Eucledian KNN,3.448275862,0,72.4137931
5 percent Manhattan KNN,3.448275862,0,NA
5 percent Eucledian Weighted KNN,3.448275862,0,65.51724138
5 percent Manhattan Weighted KNN,3.448275862,0,NA
5 percent Eucledian 1NN Scaling type 1,6.896551724,17.24137931,NA
5 percent Manhattan 1NN Scaling type 1,6.896551724,17.24137931,NA
5 percent Eucledian KNN Scaling type 1,6.896551724,10.34482759,NA
5 percent Manhattan KNN Scaling type 1,6.896551724,10.34482759,NA
5 percent Eucledian Weighted KNN Scaling type 1,3.448275862,10.34482759,NA
5 percent Manhattan Weighted KNN Scaling type 1,3.448275862,10.34482759,NA
5 percent Eucledian 1NN Scaling type 2,3.448275862,6.896551724,NA
5 percent Manhattan 1NN Scaling type 2,3.448275862,6.896551724,NA
5 percent Eucledian KNN Scaling type 2,3.448275862,0,NA
5 percent Manhattan KNN Scaling type 2,3.448275862,0,NA
5 percent Eucledian Weighted KNN Scaling type 2,3.448275862,3.448275862,NA
5 percent Manhataan Weighted KNN Scaling type 2,3.448275862,3.448275862,NA
10 percent Eucledian 1NN,8.474576271,11.86440678,54.23728814
10 percent Mahattan 1NN,8.474576271,11.86440678,NA
10 percent Eucledian KNN,6.779661017,11.86440678,59.3220339
10 percent Manhattan KNN,6.779661017,11.86440678,NA
10 percent Eucledian Weighted KNN,6.779661017,10.16949153,57.62711864
10 percent Manhattan Weighted KNN,6.779661017,10.16949153,NA
10 percent Eucledian 1NN Scaling type 1,6.779661017,15.25423729,NA
10 percent Manhattan 1NN Scaling type 1,6.779661017,15.25423729,NA
10 percent Eucledian KNN Scaling type 1,8.474576271,15.25423729,NA
10 percent Manhattan KNN Scaling type 1,8.474576271,6.779661017,NA
10 percent Eucledian Weighted KNN Scaling type 1,8.474576271,6.779661017,NA
10 percent Manhattan Weighted KNN Scaling type 1,8.474576271,6.779661017,NA
10 percent Eucledian 1NN Scaling type 2,5.084745763,5.084745763,NA
10 percent Manhattan 1NN Scaling type 2,5.084745763,5.084745763,NA
10 percent Eucledian KNN Scaling type 2,1.694915254,5.084745763,NA
10 percent Manhattan KNN Scaling type 2,1.694915254,5.084745763,NA
10 percent Eucledian Weighted KNN Scaling type 2,1.694915254,1.694915254,NA
10 percent Manhataan Weighted KNN Scaling type 2,1.694915254,1.694915254,NA
20 percent Eucledian 1NN,5.882352941,7.56302521,61.34453782
20 percent Mahattan 1NN,5.882352941,7.56302521,NA
20 percent Eucledian KNN,5.042016807,4.201680672,68.90756303
20 percent Manhattan KNN,5.042016807,4.201680672,NA
20 percent Eucledian Weighted KNN,5.042016807,5.042016807,71.42857143
20 percent Manhattan Weighted KNN,5.042016807,5.042016807,NA
20 percent Eucledian 1NN Scaling type 1,9.243697479,11.76470588,NA
20 percent Manhattan 1NN Scaling type 1,9.243697479,11.76470588,NA
20 percent Eucledian KNN Scaling type 1,1.680672269,8.403361345,NA
20 percent Manhattan KNN Scaling type 1,1.680672269,8.403361345,NA
20 percent Eucledian Weighted KNN Scaling type 1,1.680672269,6.722689076,NA
20 percent Manhattan Weighted KNN Scaling type 1,1.680672269,6.722689076,NA
20 percent Eucledian 1NN Scaling type 2,7.56302521,7.56302521,NA
20 percent Manhattan 1NN Scaling type 2,7.56302521,7.56302521,NA
20 percent Eucledian KNN Scaling type 2,3.361344538,5.882352941,NA
20 percent Manhattan KNN Scaling type 2,3.361344538,5.882352941,NA
20 percent Eucledian Weighted KNN Scaling type 2,3.361344538,5.042016807,NA
20 percent Manhataan Weighted KNN Scaling type 2,3.361344538,5.042016807,NA
